91,86,89,76,84,-0.02,0.82,0.55,5.13,13.37,13.37,moveleft
93,84,96,74,82,-0.11,0.78,0.6,3.72,5.19,10.38,moveleft
92,85,95,78,78,-0.14,0.74,0.66,12.02,2.32,23.01,moveleft
90,86,92,77,81,-0.39,0.48,0.77,9.89,-4.33,25.88,moveleft
91,82,95,75,83,-0.47,0.51,0.72,-1.83,-4.58,4.76,moveleft
89,81,95,77,78,-0.43,0.49,0.75,3.42,0,1.16,moveleft
91,87,89,77,82,-0.44,0.48,0.73,-0.31,3.3,1.89,moveleft
86,84,89,77,81,-0.44,0.5,0.74,1.4,1.89,1.71,moveleft
85,80,88,77,83,-0.43,0.49,0.74,0.67,1.59,1.22,moveleft
89,86,91,77,81,-0.44,0.5,0.76,0.49,-1.1,1.22,moveleft
87,87,92,77,81,-0.45,0.49,0.76,1.16,-0.18,1.1,moveleft
90,84,94,76,82,-0.44,0.49,0.74,0.37,2.01,1.1,moveleft
84,76,91,77,77,-0.38,0.86,0.46,2.2,5,7.45,moveright
88,81,91,77,81,-0.36,0.9,0.43,-0.92,-7.32,1.71,moveright
86,77,93,77,79,-0.33,0.88,0.38,0.98,-3.23,0.06,moveright
84,76,91,77,77,-0.33,0.88,0.41,-0.31,-2.44,2.62,moveright
89,80,88,77,77,-0.31,0.85,0.4,3.78,-14.89,2.26,moveright
89,80,94,75,81,-0.36,0.87,0.36,0.24,-24.72,-2.62,moveright
90,82,93,75,81,-0.29,0.91,0.33,10.68,-27.16,-17.94,moveright
86,76,92,77,80,-0.17,0.91,0.31,22.09,-22.52,-18.07,moveright
89,82,93,75,80,-0.13,0.88,0.44,14.89,-13.49,-18.13,moveright
86,76,93,77,78,0.05,0.81,0.56,9.64,-3.42,-9.4,moveright
87,80,92,76,82,0.09,0.77,0.62,-4.21,7.63,4.15,moveright
89,80,90,76,80,0.1,0.8,0.58,0.24,5.19,0.85,moveright
86,78,88,76,77,0.08,0.8,0.59,0,-0.55,1.22,moveright
91,80,92,75,77,0.09,0.82,0.56,1.1,2.26,-1.04,moveright
89,81,89,77,82,0.11,0.81,0.57,0.18,0.85,0.79,moveright
91,82,91,77,81,0.11,0.81,0.57,1.71,4.15,0.85,moveright
90,80,94,75,79,0.12,0.81,0.57,1.59,1.1,1.34,moveright
90,81,92,74,79,0.12,0.81,0.56,0.12,-0.37,0.55,moveright
90,82,91,74,80,0.12,0.81,0.54,1.59,-1.83,1.53,moveright
90,82,91,74,80,0.12,0.81,0.54,1.59,-1.83,1.53,moveright
